killed, killed, killed, killed, Rotate Left Eighth, Get Battle Info
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Rotate Left Eighth, Get Battle Info
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Shoot, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Rotate Left Eighth, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Rotate Left Eighth, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Shoot, Get Battle Info
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Rotate Left Eighth, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, Get Battle Info (killed), Get Battle Info
Player 2 won with 1 tanks still alive
